No.,Sample Name,Contributors,True Ratios,Estimated Ratios,MAE,RMSE,R²,Status
40,A09_RD14-0003-37_38_39_40-1;9;9;1-M2d-0....,4,0.050; 0.450; 0.450; 0.050,0.134; 0.318; 0.486; 0.062,0.0660,0.0805,0.8380,Success
41,A09_RD14-0003-49_50_29-1;4;1-M3e-0.186IP...,3,0.167; 0.667; 0.167,0.100; 0.693; 0.207,0.0442,0.0473,0.9597,Success
42,A10_RD14-0003-30_31_32-1;4;4-M2d-0.567IP...,3,0.111; 0.444; 0.444,0.151; 0.406; 0.444,0.0263,0.0319,0.9589,Success
43,A10_RD14-0003-48_49_50_29-1;4;4;4-M2a-0....,4,0.077; 0.308; 0.308; 0.308,0.080; 0.277; 0.297; 0.346,0.0209,0.0254,0.9356,Success
44,A11_RD14-0003-48_49_50_29-1;4;4;4-M2d-0....,4,0.077; 0.308; 0.308; 0.308,0.139; 0.206; 0.305; 0.350,0.0521,0.0630,0.6022,Success
45,B02_RD14-0003-42_43-1;9-M1S10-0.75IP-Q1....,2,0.100; 0.900,0.140; 0.860,0.0402,0.0402,0.9899,Success
46,E03_RD14-0003-44_45_46_47-1;1;4;1-M2d-0....,4,0.143; 0.143; 0.571; 0.143,0.134; 0.218; 0.502; 0.147,0.0395,0.0516,0.9227,Success
47,E04_RD14-0003-36_37_38_39-1;2;2;1-M3a-0....,4,0.167; 0.333; 0.333; 0.167,0.219; 0.331; 0.286; 0.165,0.0260,0.0353,0.8207,Success
48,E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0....,4,0.167; 0.333; 0.333; 0.167,0.161; 0.409; 0.270; 0.159,0.0379,0.0495,0.6475,Success
49,F03_RD14-0003-49_50_29-1;4;1-M3S30-0.09I...,3,0.167; 0.667; 0.167,0.310; 0.521; 0.170,0.0974,0.1181,0.7489,Success
50,H07_RD14-0003-35_36_37_38_39-1;4;4;4;1-M...,5,0.071; 0.286; 0.286; 0.286; 0.071,0.102; 0.314; 0.240; 0.212; 0.132,0.0479,0.0510,0.7644,Success
