mae,mse,rmse,mean_relative_error,max_relative_error,r2,pearson_r,pearson_p,spearman_r,spearman_p,major_contributor_correct,rank_accuracy,threshold_1pct,threshold_5pct,threshold_10pct,uniformity_bias,entropy_difference,n_contributors,sample
0.13333333333333336,0.017777777777777785,0.13333333333333336,0.41666664895833416,0.6666666333333349,0.8024691358024691,1.0,1.0,0.9999999999999999,,True,0.9999999999999999,0.0,0.0,0.0,-0.1333333333333334,0.1361117447566248,2,A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa
0.07062803627241096,0.006812661185664561,0.08253884652492159,0.2825121337891585,0.565024267578317,0.0,,,,,False,0.0,0.0,0.5,0.75,0.07062803627241096,0.06434433595652056,4,A02_RD14-0003-40_41_42_43-1;1;1;1-M4I35-0.124IP-QLAND_001.5sec.fsa
0.08583935062178716,0.01036426143917338,0.10180501676819949,0.5245737567814185,1.3218352160446036,0.9118228069745328,0.9840280145852505,0.11393425550650747,0.8660254037844387,0.3333333333333332,True,0.8660254037844387,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.08583935062178719,0.21417477218902192,3,A02_RD14-0003-41_42_43-1;9;1-M2c-0.165IP-Q1.1_001.5sec.fsa
8.326672684688674e-17,7.703719777548943e-33,8.777083671441753e-17,1.6653345036310448e-16,2.2204460048413929e-16,0.0,,,,,True,0.0,1.0,1.0,1.0,8.326672684688674e-17,0.0,2,A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa
0.0598376420138526,0.005110792686115333,0.07148980826744,0.2243911482023161,0.31344957519071914,0.31856097518462234,0.6903055981210471,0.3096944018789529,0.7745966692414834,0.22540333075851657,True,0.7745966692414834,0.0,0.5,0.75,-0.05349268292753281,0.048881288736564166,4,A02_RD14-0003-50_29_30_31-1;1;2;1-M3c-0.075IP-Q0.5_001.5sec.fsa
0.09444444444444439,0.008919753086419742,0.09444444444444439,0.2951388763454866,0.4722221986111122,0.900891632373114,1.0,1.0,0.9999999999999999,,True,0.9999999999999999,0.0,0.0,1.0,0.09444444444444433,0.16328136912942676,2,A03_RD14-0003-40_41-1;4-M4a-0.075IP-Q0.6_001.5sec.fsa
0.07776553553961685,0.0070623672433273695,0.08403789171158073,0.4752337806686732,0.8583607186034877,0.9399147036876289,0.9980953624729789,0.039297981557619134,0.8660254037844387,0.3333333333333332,True,0.8660254037844387,0.0,0.3333333333333333,0.6666666666666666,-0.07776553553961688,0.21366401938032287,3,A03_RD14-0003-41_42_43-1;9;1-M2e-0.165IP-Q1.7_001.5sec.fsa
0.09128079246404257,0.009848466197684563,0.09923943872112823,0.4761478461591123,0.6775771447025413,-1.2159048944790265,0.0885431464311858,0.8874108453800374,0.0,1.0,False,0.0,0.0,0.2,0.2,0.011199822386907754,0.047682536903947526,5,A03_RD14-0003-43_44_45_46_47-1;1;2;1;1-M3e-0.09IP-Q2.0_001.5sec.fsa
0.08592601110543654,0.010024451096158828,0.10012218084000582,0.3759262762186717,0.5468823939940519,0.7089196422448696,0.9881410297869972,0.01185897021300275,0.7745966692414834,0.22540333075851657,True,0.7745966692414834,0.0,0.25,0.75,-0.08592601110543654,0.17694741460403818,4,A03_RD14-0003-44_45_46_47-1;1;4;1-M3I35-0.441IP-QLAND_001.5sec.fsa
0.061039170942654764,0.004287799540890116,0.06548129153346104,0.2471890620429132,0.3587212188316982,0.42829339454798465,0.6594783991929485,0.3405216008070515,0.7745966692414834,0.22540333075851657,True,0.7745966692414834,0.0,0.25,1.0,-0.03536625446620684,0.032946638926106164,4,A03_RD14-0003-50_29_30_31-1;1;2;1-M3e-0.075IP-Q1.1_001.5sec.fsa
0.00969629711095615,0.00013365816814166076,0.011561062587048854,0.10068062170066983,0.23271110273761572,0.9983961019823001,0.9992504590267438,0.0007495409732563019,0.7745966692414834,0.22540333075851657,True,0.7745966692414834,0.5,1.0,1.0,-0.002939049704649116,0.010016210455663921,4,A04_RD14-0003-32_33_34_35-1;1;9;1-M2c-0.372IP-Q0.4_001.5sec.fsa
0.03522727272727268,0.0012409607438016493,0.03522727272727268,0.11008522259410519,0.1761363548295457,0.9862115472910928,1.0,1.0,0.9999999999999999,,True,0.9999999999999999,0.0,1.0,1.0,0.03522727272727266,0.052902345125501904,2,A04_RD14-0003-40_41-1;4-M3e-0.155IP-Q0.8_001.5sec.fsa
0.03562955211018565,0.001872695540521158,0.04327465240208358,0.13286141181487107,0.2627252091656534,0.7893217516913698,0.9321697162240774,0.2358266647198094,0.8660254037844387,0.3333333333333332,False,0.8660254037844387,0.3333333333333333,0.3333333333333333,1.0,-0.0350300296402552,0.026312788338614057,3,A04_RD14-0003-44_45_46-1;2;2-M3c-0.155IP-Q0.9_001.5sec.fsa
0.03195271602649743,0.00109421163075639,0.03307886985307071,0.21107344129402483,0.5718779790282401,0.8904167314975823,0.9618657440433958,0.038134255956604246,0.7745966692414834,0.22540333075851657,True,0.7745966692414834,0.0,1.0,1.0,-0.021995309745091438,0.046212737956728756,4,A04_RD14-0003-48_49_50_29-1;4;4;4-M3I22-0.403IP-Q1.7_001.5sec.fsa
0.042527043930571995,0.0031812464546520603,0.05640253943442671,0.23881506029097652,0.4997104273673435,0.810528703803811,0.9828739832390424,0.002683487599615217,0.8944271909999159,0.040519326353834,True,0.8944271909999159,0.2,0.6,0.8,-0.04234946900945537,0.11495548792427002,5,A04_RD14-0003-48_49_50_29_30-1;1;2;4;1-M2c-0.279IP-Q1.4_001.5sec.fsa
